"departement","annee","nb_nouveaux_exploitants"
"69",2014,10
"69",2015,32
"69",2016,61
"69",2017,44
"69",2018,60
"69",2019,69
"69",2020,89
"69",2021,73
"69",2022,46
"69",2023,34
"69",2024,38
"70",2010,24
"70",2011,5
"70",2012,6
"70",2013,4
"70",2014,5
"70",2015,23
"70",2016,20
"70",2017,26
"70",2018,17
"70",2019,24
"70",2020,25
"70",2021,22
"70",2022,12
"70",2023,18
"70",2024,6
"71",2010,13
"71",2011,9
"71",2012,8
"71",2013,10
"71",2014,7
"71",2015,23
"71",2016,33
"71",2017,28
"71",2018,35
"71",2019,61
"71",2020,48
"71",2021,75
"71",2022,50
"71",2023,46
"71",2024,60
"72",2010,7
"72",2011,9
"72",2012,32
"72",2013,5
"72",2014,11
"72",2015,13
"72",2016,29
"72",2017,34
"72",2018,29
"72",2019,26
"72",2020,32
"72",2021,24
"72",2022,34
"72",2023,28
"72",2024,23
"73",2010,6
"73",2011,7
"73",2012,6
"73",2013,12
"73",2014,4
"73",2015,5
"73",2016,11
"73",2017,22
"73",2018,10
"73",2019,29
"73",2020,26
"73",2021,31
"73",2022,22
"73",2023,29
"73",2024,13
"74",2010,9
"74",2011,10
"74",2012,11
"74",2013,4
"74",2014,5
"74",2015,7
"74",2016,9
"74",2017,14
"74",2018,23
"74",2019,24
"74",2020,25
"74",2021,33
"74",2022,24
"74",2023,24
"74",2024,17
"75",2012,1
"75",2015,1
"75",2016,3
"75",2017,3
"75",2018,4
"75",2019,2
"75",2020,8
"75",2021,12
"75",2022,3
"75",2023,5
"75",2024,4
"76",2010,18
"76",2011,12
"76",2012,5
"76",2013,7
"76",2014,9
"76",2015,15
"76",2016,17
"76",2017,24
"76",2018,22
"76",2019,29
"76",2020,31
"76",2021,21
"76",2022,13
"76",2023,9
"76",2024,16
"77",2010,6
"77",2011,8
"77",2012,4
"77",2013,4
"77",2014,4
"77",2015,6
"77",2016,13
"77",2017,15
"77",2018,19
"77",2019,34
"77",2020,35
"77",2021,31
"77",2022,16
"77",2023,14
"77",2024,13
"78",2010,9
"78",2011,2
"78",2012,2
"78",2013,6
"78",2014,1
"78",2015,2
"78",2016,3
"78",2017,12
"78",2018,21
"78",2019,17
"78",2020,16
"78",2021,13
"78",2022,7
"78",2023,8
"78",2024,8
"79",2010,21
"79",2011,18
"79",2012,13
"79",2013,4
"79",2014,21
"79",2015,30
"79",2016,39
"79",2017,37
"79",2018,54
"79",2019,58
"79",2020,55
"79",2021,58
"79",2022,37
"79",2023,35
"79",2024,20
"80",2010,6
"80",2011,8
"80",2012,3
"80",2013,7
"80",2014,2
"80",2015,10
"80",2016,12
"80",2017,24
"80",2018,16
"80",2019,24
"80",2020,18
"80",2021,19
"80",2022,11
"80",2023,8
"80",2024,8
"81",2010,25
"81",2011,18
"81",2012,18
"81",2013,19
"81",2014,23
"81",2015,37
"81",2016,50
"81",2017,53
"81",2018,61
"81",2019,62
"81",2020,82
"81",2021,84
"81",2022,82
"81",2023,92
"81",2024,95
"82",2010,17
"82",2011,15
"82",2012,9
"82",2013,5
"82",2014,11
"82",2015,28
"82",2016,35
"82",2017,43
"82",2018,64
"82",2019,37
"82",2020,50
"82",2021,155
"82",2022,69
"82",2023,70
"82",2024,127
"83",2010,37
"83",2011,34
"83",2012,26
"83",2013,30
"83",2014,19
"83",2015,28
"83",2016,36
"83",2017,67
"83",2018,92
"83",2019,97
"83",2020,110
"83",2021,105
"83",2022,107
"83",2023,68
"83",2024,106
"84",2010,71
"84",2011,58
"84",2012,29
"84",2013,23
"84",2014,26
"84",2015,30
"84",2016,47
"84",2017,73
"84",2018,72
"84",2019,109
"84",2020,115
"84",2021,179
"84",2022,107
"84",2023,93
"84",2024,71
"85",2010,20
"85",2011,22
"85",2012,6
"85",2013,15
"85",2014,20
"85",2015,32
"85",2016,58
"85",2017,72
"85",2018,68
"85",2019,70
"85",2020,68
"85",2021,59
"85",2022,52
"85",2023,37
"85",2024,114
"86",2010,15
"86",2011,11
"86",2012,4
"86",2013,9
"86",2014,16
"86",2015,26
"86",2016,49
"86",2017,25
"86",2018,58
"86",2019,34
"86",2020,50
"86",2021,58
"86",2022,32
"86",2023,29
"86",2024,25
"87",2010,10
"87",2011,18
"87",2012,8
"87",2013,15
"87",2014,20
"87",2015,37
"87",2016,39
"87",2017,27
"87",2018,35
"87",2019,32
"87",2020,36
"87",2021,50
"87",2022,56
"87",2023,52
"87",2024,50
"88",2010,21
"88",2011,11
"88",2012,10
"88",2013,4
"88",2014,9
"88",2015,20
"88",2016,27
"88",2017,23
"88",2018,16
"88",2019,31
"88",2020,22
"88",2021,31
"88",2022,19
"88",2023,12
"88",2024,9
"89",2010,30
"89",2011,11
"89",2012,12
"89",2013,3
"89",2014,11
"89",2015,29
"89",2016,16
"89",2017,23
"89",2018,70
"89",2019,57
"89",2020,63
"89",2021,49
"89",2022,39
"89",2023,26
"89",2024,16
"90",2010,3
"90",2012,1
"90",2014,2
"90",2015,1
"90",2016,1
"90",2017,2
"90",2018,2
"90",2019,1
"90",2022,3
"90",2023,1
"91",2010,4
"91",2011,1
"91",2012,3
"91",2013,2
"91",2014,7
"91",2015,5
"91",2016,5
"91",2017,11
"91",2018,26
"91",2019,17
"91",2020,12
"91",2021,17
"91",2022,5
"91",2023,3
"91",2024,10
"92",2011,2
"92",2012,1
"92",2015,2
"92",2016,1
"92",2018,1
"92",2019,2
"92",2022,2
"92",2023,3
"92",2024,3
"93",2012,1
"93",2015,2
"93",2016,1
"93",2020,1
"93",2021,1
"93",2023,1
"94",2014,3
"94",2015,1
"94",2017,4
"94",2020,1
"94",2023,4
"94",2024,2
"95",2010,2
"95",2015,1
"95",2016,2
"95",2017,2
"95",2018,5
"95",2019,3
"95",2020,4
"95",2021,5
"95",2022,2
"95",2024,3
"97",2010,13
"97",2011,32
"97",2012,20
"97",2013,29
"97",2014,16
"97",2015,27
"97",2016,47
"97",2017,56
"97",2018,62
"97",2019,79
"97",2020,132
"97",2021,136
"97",2022,141
"97",2023,110
"97",2024,96
