"departement","annee","nb_nouveaux_exploitants"
"45",2022,20
"45",2023,12
"45",2024,16
"46",2010,30
"46",2011,11
"46",2012,6
"46",2013,13
"46",2014,11
"46",2015,28
"46",2016,31
"46",2017,36
"46",2018,45
"46",2019,77
"46",2020,72
"46",2021,80
"46",2022,51
"46",2023,73
"46",2024,78
"47",2010,42
"47",2011,14
"47",2012,19
"47",2013,14
"47",2014,17
"47",2015,31
"47",2016,40
"47",2017,48
"47",2018,92
"47",2019,67
"47",2020,99
"47",2021,94
"47",2022,65
"47",2023,79
"47",2024,63
"48",2010,15
"48",2011,15
"48",2013,10
"48",2014,13
"48",2015,29
"48",2016,53
"48",2017,40
"48",2018,18
"48",2019,20
"48",2020,34
"48",2021,38
"48",2022,43
"48",2023,37
"48",2024,36
"49",2010,53
"49",2011,41
"49",2012,22
"49",2013,22
"49",2014,21
"49",2015,37
"49",2016,90
"49",2017,62
"49",2018,99
"49",2019,96
"49",2020,96
"49",2021,101
"49",2022,76
"49",2023,64
"49",2024,54
"50",2010,31
"50",2011,23
"50",2012,15
"50",2013,20
"50",2014,15
"50",2015,25
"50",2016,46
"50",2017,50
"50",2018,47
"50",2019,43
"50",2020,46
"50",2021,55
"50",2022,26
"50",2023,37
"50",2024,41
"51",2010,11
"51",2011,19
"51",2012,13
"51",2013,11
"51",2014,14
"51",2015,12
"51",2016,24
"51",2017,37
"51",2018,42
"51",2019,59
"51",2020,128
"51",2021,105
"51",2022,48
"51",2023,33
"51",2024,43
"52",2010,6
"52",2011,1
"52",2012,5
"52",2013,3
"52",2014,6
"52",2015,18
"52",2016,12
"52",2017,9
"52",2018,26
"52",2019,19
"52",2020,39
"52",2021,40
"52",2022,11
"52",2023,18
"52",2024,11
"53",2010,20
"53",2011,13
"53",2012,19
"53",2013,7
"53",2014,12
"53",2015,15
"53",2016,45
"53",2017,43
"53",2018,44
"53",2019,41
"53",2020,55
"53",2021,52
"53",2022,34
"53",2023,33
"53",2024,21
"54",2010,10
"54",2011,12
"54",2012,6
"54",2013,12
"54",2014,9
"54",2015,24
"54",2016,21
"54",2017,16
"54",2018,19
"54",2019,26
"54",2020,41
"54",2021,25
"54",2022,16
"54",2023,13
"54",2024,19
"55",2010,8
"55",2011,4
"55",2012,4
"55",2013,5
"55",2014,4
"55",2015,5
"55",2016,19
"55",2017,20
"55",2018,13
"55",2019,29
"55",2020,22
"55",2021,32
"55",2022,16
"55",2023,20
"55",2024,20
"56",2010,31
"56",2011,26
"56",2012,19
"56",2013,22
"56",2014,18
"56",2015,28
"56",2016,65
"56",2017,67
"56",2018,62
